video_name,location,upload_date,recorded_at,unique_flying_birds,max_concurrent_birds,duration_seconds,processing_time,total_tracks,frames_processed,first_detection_second,peak_concurrent_second,birds_per_minute,track_noise_ratio,avg_motion_score
C_7152025_1.MP4,A,2026-09-22 17:57,2026-09-07 07:30,130,6,1860.3,2978.5,661,53948,0.3,259.4,"[9, 4, 2, 2, 14, 9, 4, 7, 1, 5, 2, 5, 6, 4, 2, 2, 7, 2, 2, 5, 0, 6, 4, 3, 4, 3, 5, 1, 6, 3, 1, 0]",0.197,3.289999961853028
C_7152025_1 (online-video-cutter.com).mp4,A,2026-09-22 19:26,,8,6,16.3,30.1,15,474,4.7,10.5,[8],0.533,4.650000095367432
E_7222025_2.MP4,A,2026-09-22 21:05,,99,6,1860.3,5005.6,401,53948,7.2,1490.3,"[2, 3, 2, 0, 1, 3, 10, 3, 3, 1, 1, 5, 0, 0, 3, 2, 0, 0, 7, 3, 1, 4, 1, 8, 15, 7, 0, 5, 0, 3, 6, 0]",0.247,2.6700000762939453
